order,family,scientificName,aphiaID,TG_latest,References
Amphipoda,Brachyscelidae,Brachyscelus crusculum,103241,carnivore,"(Richardson et al., 2006) Hyperiid"
Amphipoda,Cyllopodidae,Cyllopus lucasii,325406,carnivore,"(Richardson et al., 2006) Hyperiid"
Amphipoda,Cyllopodidae,Cyllopus magellanicus,325407,carnivore,"(Richardson et al., 2006) Hyperiid"
Amphipoda,Dairellidae,Dairella californica,421612,carnivore,"(Richardson et al., 2006) Hyperiid"
Amphipoda,Hyperiidae,Hyperia spinigera,103254,carnivore,"(Richardson et al., 2006) Hyperiid"
Amphipoda,Hyperiidae,Hyperiella antarctica,325379,carnivore,"(Richardson et al., 2006) Hyperiid"
Amphipoda,Hyperiidae,Hyperiella dilatata,325383,carnivore,"(Richardson et al., 2006) Hyperiid"
Amphipoda,Hyperiidae,Hyperoche medusarum,103256,carnivore,"(Richardson et al., 2006) Hyperiid"
Amphipoda,Platyscelidae,Hemityphis,236618,carnivore,"(Richardson et al., 2006) Hyperiid"
Amphipoda,Hyperiidae,Hyperia,101796,carnivore,"(Richardson et al., 2006) Hyperiid"
Amphipoda,Hyperiidae,Hyperiella,325378,carnivore,"(Richardson et al., 2006) Hyperiid"
Amphipoda,Hyperiidae,Hyperiella macronyx,325387,carnivore,"(Richardson et al., 2006) Hyperiid"
Amphipoda,Hyperiidae,Hyperoche,101798,carnivore,"(Richardson et al., 2006) Hyperiid"
Amphipoda,Mimonectidae,Mimonectes,101802,carnivore,"(Richardson et al., 2006) Hyperiid"
Amphipoda,NA,Hyperiidea,1205,carnivore,"(Richardson et al., 2006) Hyperiid"
Amphipoda,Gammaridae,Gammaridae,101383,omnivore,Mancinelli (2012;  10.1016/j.ecss.2011.12.003)
Amphipoda,Hyperiidae,Hyperiidae,101417,carnivore,"(Richardson et al., 2006) Hyperiid"
Amphipoda,Gammaridea,Gammaridea,1207,omnivore,Mancinelli (2012;  10.1016/j.ecss.2011.12.003)
Amphipoda,Oxycephalidae,Oxycephalidae,196118,carnivore,"(Richardson et al., 2006) Hyperiid"
Amphipoda,NA,Platysceloidea,155698,carnivore,"(Richardson et al., 2006) Hyperiid"
Amphipoda,Parascelidae,Parascelidae,236598,carnivore,"(Richardson et al., 2006) Hyperiid"
Amphipoda,Scinidae,Scinidae,101424,carnivore,"(Richardson et al., 2006) Hyperiid"
Amphipoda,Phronimidae,Phronima,101804,carnivore,"(Richardson et al., 2006) Hyperiid"
Amphipoda,Hyperiidae,Physosomata,155686,carnivore,"(Richardson et al., 2006) Hyperiid"
Amphipoda,Phrosinidae,Primno,101806,carnivore,"(Richardson et al., 2006) Hyperiid"
Amphipoda,Oxycephalidae,Rhabdosoma,205957,carnivore,"(Richardson et al., 2006) Hyperiid"
Amphipoda,Scinidae,Scina,101810,carnivore,"(Richardson et al., 2006) Hyperiid"
Amphipoda,Hyperiidae,Themisto,101800,carnivore,"(Richardson et al., 2006) Hyperiid"
Amphipoda,Vibiliidae,Vibilia,101812,carnivore,"(Richardson et al., 2006) Hyperiid"
Amphipoda,Paraphronimidae,Paraphronima crassipes,236596,carnivore,"(Richardson et al., 2006) (Pata & Hunt, 2025) Hyperiid"
Amphipoda,Phrosinidae,Phrosina semilunata,103273,carnivore,"(Richardson et al., 2006) Hyperiid"
Amphipoda,Phrosinidae,Primno macropa,180759,carnivore,"(Richardson et al., 2006) Hyperiid"
Amphipoda,Hyperiidae,Themisto australis,325381,carnivore,"(Richardson et al., 2006) Hyperiid"
Amphipoda,Hyperiidae,Themisto gaudichaudii,325384,carnivore,"(Richardson et al., 2006) Hyperiid"
Amphipoda,Vibiliidae,Vibilia antarctica,325408,carnivore,"(Richardson et al., 2006) Hyperiid"
Amphipoda,Vibiliidae,Vibilia armata,236632,carnivore,"(Richardson et al., 2006) Hyperiid"
Aphragmophora,Sagittidae,Aidanosagitta regularis,266712,carnivore,"(Richardson et al., 2006)"
Aphragmophora,Sagittidae,Flaccisagitta enflata,105434,carnivore,"(Richardson et al., 2006)"
Aphragmophora,Sagittidae,Flaccisagitta,105406,carnivore,"(Richardson et al., 2006)"
Aphragmophora,Sagittidae,Sagittidae,5953,carnivore,"(Richardson et al., 2006)"
Aphragmophora,Sagittidae,Pseudosagitta,105409,carnivore,"(Richardson et al., 2006)"
Aphragmophora,Pterosagittidae,Pterosagitta ,105403,carnivore,"(Richardson et al., 2006)"
Aphragmophora,Sagittidae,Pseudosagitta gazellae,266258,carnivore,"(Richardson et al., 2006)"
Aphragmophora,Sagittidae,Serratosagitta serratodentata,105464,carnivore,"(Richardson et al., 2006)"
Aphragmophora,Sagittidae,Serratosagitta tasmanica,105465,carnivore,"(Richardson et al., 2006)"
Aphragmophora,Sagittidae,Solidosagitta marri,266854,carnivore,"(Richardson et al., 2006)"
Calanoida,Acartiidae,Acartia (Acanthacartia) fossae,345933,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Acartiidae,Acartia (Acanthacartia) pietschmani,416442,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Acartiidae,Acartia (Acanthacartia) sinjiensis,345940,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Acartiidae,Acartia (Acanthacartia) tonsa,345943,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Acartiidae,Acartia (Acartia) danae,346026,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Acartiidae,Acartia (Acartia) negligens,346030,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Acartiidae,Acartia (Acartiura) clausi,149755,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Acartiidae,Acartia (Acartiura) longiremis,346037,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Acartiidae,Acartia (Acartiura) longiremis,346037,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Acartiidae,Acartia (Acartiura) simplex,346040,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Acartiidae,Acartia (Acartiura) tranteri,346042,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Acartiidae,Acartia (Odontacartia) amboinensis,346049,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Acartiidae,Acartia (Odontacartia) australis,346050,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Acartiidae,Acartia (Odontacartia) bispinosa,346051,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Acartiidae,Acartia (Odontacartia) pacifica,346059,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Acartiidae,Acartia (Acanthacartia) tumida,346025,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Paracalanidae,Acrocalanus gibber,104645,omnivore,"(Benedetti et al., 2022)"
Calanoida,Paracalanidae,Acrocalanus gracilis,220838,omnivore,"(Benedetti et al., 2022)"
Calanoida,Paracalanidae,Acrocalanus longicornis,104646,omnivore,"(Benedetti et al., 2022)"
Calanoida,Paracalanidae,Acrocalanus monachus,220839,omnivore,"(Benedetti et al., 2022)"
Calanoida,Aetideidae,Aetideus acutus,104273,carnivore,"(Benedetti et al., 2016)"
Calanoida,Aetideidae,Aetideus armatus,104275,carnivore,"(Benedetti et al., 2016)"
Calanoida,Aetideidae,Aetideus australis,341238,carnivore,Inherited from genus level
Calanoida,Aetideidae,Aetideus giesbrechti,104276,carnivore,"(Benedetti et al., 2016)"
Calanoida,Aetideidae,Aetideus pseudarmatus,345717,carnivore,Inherited from genus level
Calanoida,Pontellidae,Anomalocera patersoni,104722,carnivore,Inherited from family level
Calanoida,Pontellidae,Anomalocera patersonii,364368,carnivore,Inherited from family level
Calanoida,Paracalanidae,Bestiolina similis,346152,omnivore,"(Campbell et al., 2021)"
Calanoida,Aetideidae,Bradyidius armatus,146735,omnivore,"(Benedetti et al., 2022)"
Calanoida,Calanidae,Calanoides acutus,342434,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Calanidae,Calanoides brevicornis,357533,omnivore,"(Richardson et al., 2006)"
Calanoida,Calanidae,Calanoides carinatus,104462,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Calanidae,Calanoides patagoniensis,345759,omnivore,"(Richardson et al., 2006)"
Calanoida,Pontellidae,Calanopia americana,104723,carnivore,"(Campbell et al., 2021)"
Calanoida,Pontellidae,Calanopia aurivilli,346200,carnivore,"(Campbell et al., 2021)"
Calanoida,Pontellidae,Calanopia australica,346201,carnivore,"(Campbell et al., 2021)"
Calanoida,Pontellidae,Calanopia elliptica,104724,carnivore,"(Campbell et al., 2021)"
Calanoida,Pontellidae,Calanopia minor,220919,carnivore,"(Campbell et al., 2021)"
Calanoida,Calanidae,Calanus australis,345760,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Calanidae,Calanus australis australis,716449,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Calanidae,Calanus finmarchicus,104464,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Calanidae,Calanus glacialis,104465,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Calanidae,Calanus helgolandicus,104466,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Calanidae,Calanus hyperboreus,104467,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Calanidae,Calanus marshallae,196770,omnivore,"(Richardson et al., 2006)(Benedetti et al., 2022)"
Calanoida,Calanidae,Calanus pacificus,196771,omnivore,"(Richardson et al., 2006)(Benedetti et al., 2022)"
Calanoida,Calanidae,Calanus propinquus,342435,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Calanidae,Calanus simillimus,342436,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Paracalanidae,Calocalanus pavo,104669,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Paracalanidae,Calocalanus plumulosus,211848,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Paracalanidae,Calocalanus styliremis,104673,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Paracalanidae,Calocalanus tenuis,237966,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Candaciidae,Candacia armata,104474,carnivore,"(Richardson et al., 2006) (Benedetti et al., 2016) (Benedetti et al., 2022)"
Calanoida,Candaciidae,Candacia bipinnata,104475,carnivore,"(Richardson et al., 2006) (Benedetti et al., 2016) (Benedetti et al., 2022)"
Calanoida,Candaciidae,Candacia bispinosa,220915,carnivore,"(Richardson et al., 2006)"
Calanoida,Candaciidae,Candacia bradyi,346234,carnivore,"(Richardson et al., 2006) (Benedetti et al., 2016) (Benedetti et al., 2022)"
Calanoida,Candaciidae,Candacia catula,220913,carnivore,"(Richardson et al., 2006) (Benedetti et al., 2016) (Benedetti et al., 2022)"
Calanoida,Candaciidae,Candacia cheirura,345777,carnivore,"(Richardson et al., 2006) (Benedetti et al., 2016) (Benedetti et al., 2022)"
Calanoida,Candaciidae,Candacia columbiae,349800,carnivore,"(Richardson et al., 2006) (Benedetti et al., 2016) (Benedetti et al., 2022)"
Calanoida,Candaciidae,Candacia curta,104476,carnivore,"(Richardson et al., 2006) (Benedetti et al., 2016) (Benedetti et al., 2022)"
Calanoida,Candaciidae,Candacia discaudata,346235,carnivore,"(Richardson et al., 2006) (Benedetti et al., 2016) (Benedetti et al., 2022)"
Calanoida,Candaciidae,Candacia ethiopica,104478,carnivore,"(Richardson et al., 2006) (Benedetti et al., 2016) (Benedetti et al., 2022)"
Calanoida,Candaciidae,Candacia falcifera,342437,carnivore,"(Richardson et al., 2006) (Benedetti et al., 2016) (Benedetti et al., 2022)"
Calanoida,Candaciidae,Candacia giesbrechti,104479,carnivore,"(Richardson et al., 2006) (Benedetti et al., 2016) (Benedetti et al., 2022)"
Calanoida,Candaciidae,Candacia longimana,104481,carnivore,"(Richardson et al., 2006) (Benedetti et al., 2016) (Benedetti et al., 2022)"
Calanoida,Candaciidae,Candacia maxima,342438,carnivore,"(Richardson et al., 2006) (Benedetti et al., 2016) (Benedetti et al., 2022)"
Calanoida,Candaciidae,Candacia norvegica,104482,carnivore,"(Richardson et al., 2006) (Benedetti et al., 2016) (Benedetti et al., 2022)"
Calanoida,Candaciidae,Candacia norvegica norvegica,1437526,carnivore,"(Richardson et al., 2006) (Benedetti et al., 2016) (Benedetti et al., 2022)"
Calanoida,Candaciidae,Candacia pachydactyla,104483,carnivore,"(Richardson et al., 2006) (Benedetti et al., 2016) (Benedetti et al., 2022)"
Calanoida,Candaciidae,Candacia simplex,220914,carnivore,"(Richardson et al., 2006) (Benedetti et al., 2016) (Benedetti et al., 2022)"
Calanoida,Candaciidae,Candacia tenuimana,104485,carnivore,"(Richardson et al., 2006) (Benedetti et al., 2016) (Benedetti et al., 2022)"
Calanoida,Candaciidae,Candacia truncata,220916,carnivore,"(Richardson et al., 2006) (Benedetti et al., 2016) (Benedetti et al., 2022)"
Calanoida,Candaciidae,Candacia varicans,104486,carnivore,"(Richardson et al., 2006) (Benedetti et al., 2016) (Benedetti et al., 2022)"
Calanoida,Calanidae,Canthocalanus pauper,220834,omnivore,"(Benedetti et al., 2022)"
Calanoida,Centropagidae,Centropages abdominalis,196774,omnivore,"(Richardson et al., 2006)(Benedetti et al., 2016)(Benedetti et al., 2022)"
Calanoida,Centropagidae,Centropages aucklandicus,104489,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2016) (Benedetti et al., 2022)"
Calanoida,Centropagidae,Centropages australiensis,346252,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2016) (Benedetti et al., 2022)"
Calanoida,Centropagidae,Centropages bradyi,104491,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2016) (Benedetti et al., 2022)"
Calanoida,Centropagidae,Centropages calaninus,104492,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2016) (Benedetti et al., 2022)"
Calanoida,Centropagidae,Centropages chierchiae,104494,omnivore,"(Richardson et al., 2006)(Benedetti et al., 2016)(Benedetti et al., 2022)"
Calanoida,Centropagidae,Centropages elegans,346255,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2016) (Benedetti et al., 2022)"
Calanoida,Centropagidae,Centropages elongatus,220902,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2016) (Benedetti et al., 2022)"
Calanoida,Centropagidae,Centropages furcatus,104495,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2016) (Benedetti et al., 2022)"
Calanoida,Centropagidae,Centropages gracilis,220903,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2016) (Benedetti et al., 2022)"
Calanoida,Centropagidae,Centropages hamatus,104496,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022) and (Benedetti et al., 2016) Benedetti et al (2016; 10.1093/plankt/fbv096) - small omnivorous"
Calanoida,Centropagidae,Centropages kroyeri,104497,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2016) (Benedetti et al., 2022)"
Calanoida,Centropagidae,Centropages orsinii,220901,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2016) (Benedetti et al., 2022)"
Calanoida,Centropagidae,Centropages typicus,104499,omnivore,"Calbet et al (2007; 10.1016/j.pocean.2007.01.003) - genus Centropages in general, consistently display selection for large motile prey"
Calanoida,Centropagidae,Centropages violaceus,104500,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2016) (Benedetti et al., 2022)"
Calanoida,Clausocalanidae,Clausocalanus arcuicornis arcuicornis,1461626,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Clausocalanidae,Clausocalanus arcuicornis,104502,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Clausocalanidae,Clausocalanus brevipes,342443,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Clausocalanidae,Clausocalanus farrani,220843,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Clausocalanidae,Clausocalanus furcatus,104503,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Clausocalanidae,Clausocalanus ingens,345778,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Clausocalanidae,Clausocalanus jobei,104504,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
